zip_code,county_standardized,county_original,state,stcountyfp,classfp,ZIP3,rating_area
36003,Autauga County,Autauga County,AL,1001,H1,360,11
36006,Autauga County,Autauga County,AL,1001,H1,360,11
36067,Autauga County,Autauga County,AL,1001,H1,360,11
36066,Autauga County,Autauga County,AL,1001,H1,360,11
36703,Autauga County,Autauga County,AL,1001,H1,367,11
36701,Autauga County,Autauga County,AL,1001,H1,367,11
36091,Autauga County,Autauga County,AL,1001,H1,360,11
36051,Autauga County,Autauga County,AL,1001,H1,360,11
36068,Autauga County,Autauga County,AL,1001,H1,360,11
36008,Autauga County,Autauga County,AL,1001,H1,360,11
36022,Autauga County,Autauga County,AL,1001,H1,360,11
36749,Autauga County,Autauga County,AL,1001,H1,367,11
36758,Autauga County,Autauga County,AL,1001,H1,367,11
36550,Baldwin County,Baldwin County,AL,1003,H1,365,13
36551,Baldwin County,Baldwin County,AL,1003,H1,365,13
36527,Baldwin County,Baldwin County,AL,1003,H1,365,13
36577,Baldwin County,Baldwin County,AL,1003,H1,365,13
36559,Baldwin County,Baldwin County,AL,1003,H1,365,13
36536,Baldwin County,Baldwin County,AL,1003,H1,365,13
36576,Baldwin County,Baldwin County,AL,1003,H1,365,13
36579,Baldwin County,Baldwin County,AL,1003,H1,365,13
36502,Baldwin County,Baldwin County,AL,1003,H1,365,13
36578,Baldwin County,Baldwin County,AL,1003,H1,365,13
36533,Baldwin County,Baldwin County,AL,1003,H1,365,13
36564,Baldwin County,Baldwin County,AL,1003,H1,365,13
36561,Baldwin County,Baldwin County,AL,1003,H1,365,13
36580,Baldwin County,Baldwin County,AL,1003,H1,365,13
36535,Baldwin County,Baldwin County,AL,1003,H1,365,13
36547,Baldwin County,Baldwin County,AL,1003,H1,365,13
36549,Baldwin County,Baldwin County,AL,1003,H1,365,13
36530,Baldwin County,Baldwin County,AL,1003,H1,365,13
36562,Baldwin County,Baldwin County,AL,1003,H1,365,13
36532,Baldwin County,Baldwin County,AL,1003,H1,365,13
36526,Baldwin County,Baldwin County,AL,1003,H1,365,13
36555,Baldwin County,Baldwin County,AL,1003,H1,365,13
36511,Baldwin County,Baldwin County,AL,1003,H1,365,13
36567,Baldwin County,Baldwin County,AL,1003,H1,365,13
36574,Baldwin County,Baldwin County,AL,1003,H1,365,13
36480,Baldwin County,Baldwin County,AL,1003,H1,364,13
36507,Baldwin County,Baldwin County,AL,1003,H1,365,13
36542,Baldwin County,Baldwin County,AL,1003,H1,365,13
36017,Barbour County,Barbour County,AL,1005,H1,360,13
36016,Barbour County,Barbour County,AL,1005,H1,360,13
36311,Barbour County,Barbour County,AL,1005,H1,363,13
36374,Barbour County,Barbour County,AL,1005,H1,363,13
36048,Barbour County,Barbour County,AL,1005,H1,360,13
36053,Barbour County,Barbour County,AL,1005,H1,360,13
36317,Barbour County,Barbour County,AL,1005,H1,363,13
36027,Barbour County,Barbour County,AL,1005,H1,360,13
36072,Barbour County,Barbour County,AL,1005,H1,360,13
35035,Bibb County,Bibb County,AL,1007,H1,350,3
35034,Bibb County,Bibb County,AL,1007,H1,350,3
