Unnamed: 0,household_id,state_code_str,zip_code,county_str,rating_area
93,302,ME,04530,SAGADAHOC_COUNTY_ME,1.0
94,312,ME,04605,HANCOCK_COUNTY_ME,4.0
95,316,ME,04240,ANDROSCOGGIN_COUNTY_ME,3.0
96,317,ME,04112,CUMBERLAND_COUNTY_ME,1.0
97,325,ME,04363,KENNEBEC_COUNTY_ME,2.0
98,327,ME,04122,CUMBERLAND_COUNTY_ME,1.0
99,330,ME,04038,CUMBERLAND_COUNTY_ME,1.0
99,330,ME,04038,CUMBERLAND_COUNTY_ME,1.0
100,332,ME,04030,YORK_COUNTY_ME,1.0
101,334,ME,04107,CUMBERLAND_COUNTY_ME,1.0
102,340,ME,04096,CUMBERLAND_COUNTY_ME,1.0
103,341,ME,04014,YORK_COUNTY_ME,1.0
104,343,ME,04640,HANCOCK_COUNTY_ME,4.0
105,346,ME,04084,CUMBERLAND_COUNTY_ME,1.0
105,346,ME,04084,CUMBERLAND_COUNTY_ME,1.0
106,351,ME,04106,CUMBERLAND_COUNTY_ME,1.0
107,353,ME,04760,AROOSTOOK_COUNTY_ME,4.0
108,355,ME,04773,AROOSTOOK_COUNTY_ME,4.0
109,364,ME,04072,YORK_COUNTY_ME,1.0
110,365,ME,04864,KNOX_COUNTY_ME,2.0
111,370,ME,04426,PISCATAQUIS_COUNTY_ME,3.0
112,371,ME,04472,HANCOCK_COUNTY_ME,4.0
113,424,ME,04901,KENNEBEC_COUNTY_ME,2.0
114,437,ME,04043,YORK_COUNTY_ME,1.0
115,472,ME,04241,ANDROSCOGGIN_COUNTY_ME,3.0
116,475,ME,04116,CUMBERLAND_COUNTY_ME,1.0
117,489,ME,04005,YORK_COUNTY_ME,1.0
118,495,ME,04609,HANCOCK_COUNTY_ME,4.0
119,498,ME,04289,OXFORD_COUNTY_ME,2.0
120,499,ME,04963,KENNEBEC_COUNTY_ME,2.0
121,506,ME,04037,OXFORD_COUNTY_ME,2.0
122,543,ME,04479,PISCATAQUIS_COUNTY_ME,3.0
122,543,ME,04479,PISCATAQUIS_COUNTY_ME,3.0
123,548,ME,03901,YORK_COUNTY_ME,1.0
124,570,ME,04972,WALDO_COUNTY_ME,3.0
125,571,ME,04401,PENOBSCOT_COUNTY_ME,3.0
126,582,ME,04027,YORK_COUNTY_ME,1.0
127,591,ME,04609,HANCOCK_COUNTY_ME,4.0
128,592,ME,04076,YORK_COUNTY_ME,1.0
