state,rating_area,zip_code
TN,5.0,38221
TN,6.0,38017
TN,7.0,37016
TN,8.0,37360
TX,1.0,76464
TX,2.0,79039
TX,3.0,78659
TX,4.0,77659
TX,5.0,78526
TX,6.0,77802
TX,7.0,78336
TX,8.0,75013
TX,9.0,79916
TX,10.0,77833
TX,11.0,76534
TX,12.0,78046
TX,13.0,75603
TX,14.0,79357
TX,15.0,78589
TX,16.0,79702
TX,17.0,79769
TX,18.0,76901
TX,19.0,78026
TX,20.0,75414
TX,21.0,75570
TX,22.0,75790
TX,23.0,77978
TX,24.0,76624
TX,25.0,76360
TX,26.0,75802
UT,1.0,84320
UT,2.0,84312
UT,3.0,84075
UT,4.0,84013
UT,5.0,84757
UT,6.0,84751
VA,1.0,24128
VA,2.0,22974
VA,3.0,24563
VA,4.0,22801
VA,5.0,24202
VA,6.0,24533
VA,7.0,23105
VA,8.0,24155
VA,9.0,23149
VA,10.0,22209
VA,11.0,22603
VA,12.0,23303
VI,1.0,00850
VT,1.0,05778
WA,1.0,98146
WA,2.0,98350
WA,3.0,98601
WA,4.0,99138
WA,5.0,99125
WI,1.0,53214
WI,2.0,53531
WI,3.0,54761
WI,4.0,54703
WI,5.0,54855
WI,6.0,54756
WI,7.0,54624
WI,8.0,54805
WI,9.0,53104
WI,10.0,54452
WI,11.0,53014
WI,12.0,53004
WI,13.0,54121
WI,14.0,53578
WI,15.0,53964
WI,16.0,54173
WV,1.0,26203
WV,2.0,25306
WV,3.0,25009
WV,4.0,24714
WV,5.0,25541
WV,6.0,25403
WV,7.0,26855
WV,8.0,26436
WV,9.0,26405
WV,10.0,25241
WV,11.0,26062
WY,1.0,82648
WY,2.0,82002
WY,3.0,82329
